id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1017,0.617,0.567,0,-4.188,1,0.0828,0.0584,0,0.0933,0.505,90.246,4
1019,0.676,0.728,6,-5.941,1,0.0706,0.00688,0,0.0843,0.642,89.951,4
1027,0.636,0.533,0,-6.539,1,0.0984,0.12,0,0.371,0.45,99.858,4
1029,0.483,0.412,7,-8.461,1,0.0402,0.737,0,0.116,0.247,170.163,3
1031,0.768,0.82,7,-4.63,0,0.0474,0.179,0,0.689,0.625,129.965,4
1037,0.515,0.998,9,-2.913,1,0.0894,0.000638,0.873,0.329,0.0806,128.997,4
1039,0.787,0.883,6,-6.069,1,0.0796,0.00138,0.805,0.0989,0.582,119.899,4
1043,0.75,0.727,5,-4.21,0,0.142,0.0189,0,0.266,0.359,129.993,4
1049,0.707,0.813,11,-4.515,0,0.0571,0.0863,0,0.168,0.722,124.921,4
1051,0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,4
1053,0.778,0.737,7,-7.861,1,0.251,0.00031,0,0.276,0.582,99.078,4
1055,0.769,0.684,1,-5.019,1,0.0411,0.0105,0.000125,0.0887,0.835,127.972,4
1057,0.677,0.671,7,-4.905,1,0.0361,0.004,5.07e-05,0.413,0.527,137.046,4
1065,0.323,0.558,5,-5.292,0,0.337,0.459,2.81e-06,0.676,0.199,73.552,4
1067,0.504,0.904,6,-6.863,1,0.179,0.356,0.121,0.14,0.772,176.808,4
1071,0.729,0.65,5,-3.539,1,0.0313,0.0702,6.69e-05,0.0829,0.347,110.02,4
1075,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-06,0.355,0.947,107.682,4
1077,0.683,0.772,7,-7.907,0,0.0311,0.0222,0.0149,0.203,0.737,123.871,4
1079,0.512,0.76,2,-5.889,0,0.0682,0.299,0,0.103,0.495,130.096,4
1083,0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.405,0.758,100.024,4
1085,0.67,0.643,5,-4.553,1,0.0465,0.118,0,0.192,0.703,123.979,4
1087,0.573,0.739,0,-5.74,1,0.129,0.0285,0,0.111,0.451,97.085,4
1089,0.645,0.984,4,-7.051,1,0.0508,0.164,0.00701,0.164,0.553,144.954,4
1091,0.554,0.848,5,-4.075,0,0.0745,0.00237,0,0.185,0.286,144.996,4
1103,0.61,0.744,7,-6.219,0,0.0357,0.15,1.58e-06,0.115,0.457,126.976,4
1129,0.616,0.685,9,-15.289,0,0.04,0.0245,1.13e-05,0.0491,0.895,150.055,4
1131,0.818,0.804,1,-4.282,1,0.0798,0.034,0,0.154,0.634,106.969,4
1133,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,4
1139,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,4
1141,0.765,0.473,10,-5.829,1,0.0514,0.287,0,0.391,0.34,119.992,4
1143,0.526,0.712,11,-6.525,0,0.0356,0.0161,0,0.179,0.32,105.009,4
